/obj/machinery/light/fo13colored/Red => 523ms (13695) (avg:0.038189120590686798)
/mob/living/carbon/human => 380ms (5451) (avg:0.069711975753307343)
/turf/closed/mineral/random/low_chance => 361ms (51573) (avg:0.0069997864775359631)
/obj/screen/healthdoll => 232ms (3529) (avg:0.065741002559661865)
/obj/machinery/power/smes/magical => 221ms (6715) (avg:0.032911393791437149)
/obj/machinery/light/fo13colored/Aqua => 137ms (2718) (avg:0.050404708832502365)
/turf/open/space/basic => 127ms (39910) (avg:0.0031821599695831537)
/obj/machinery/hydroponics/soil => 101ms (7282) (avg:0.013869816437363625)
/obj/machinery/light/fo13colored/Pink => 93ms (2060) (avg:0.045145630836486816)
/obj/machinery/light/lampost => 76ms (1515) (avg:0.050165016204118729)
/obj/structure/window/reinforced/fulltile => 58ms (4130) (avg:0.014043583534657955)
/turf/closed/mineral/random/high_chance => 45ms (6279) (avg:0.0071667460724711418)
/obj/effect/decal/cleanable/dirt => 44ms (3881) (avg:0.011337283998727798)
/obj/machinery/hydroponics/constructable => 42ms (1547) (avg:0.027149321511387825)
/turf/closed/mineral/iron => 32ms (3124) (avg:0.010243277996778488)
/obj/effect/decal/cleanable/blood/footprints => 30ms (808) (avg:0.037128712981939316)
/turf/closed/wall/f13/store => 21ms (1209) (avg:0.017369726672768593)
/turf/closed/indestructible/riveted => 20ms (2661) (avg:0.0075159715488553047)
/turf/closed/wall/rust => 19ms (2476) (avg:0.0076736672781407833)
/turf/closed/wall/r_wall/rust => 18ms (1690) (avg:0.010650887154042721)
/mob/living/carbon/human/dummy => 18ms (545) (avg:0.033027522265911102)
/obj/screen/movable/action_button => 16ms (534) (avg:0.029962547123432159)
/obj/screen/inventory/hand => 15ms (1277) (avg:0.011746279895305634)
/obj/screen/inventory => 15ms (836) (avg:0.017942583188414574)
/obj/screen/sprintbutton => 14ms (358) (avg:0.03910614550113678)
/turf/closed/mineral/lead => 12ms (1183) (avg:0.01014370284974575)
/obj/machinery/door/airlock/abandoned => 12ms (157) (avg:0.076433122158050537)
/obj/screen/parallax_layer/layer_1 => 10ms (48) (avg:0.2083333283662796)
/turf/closed/wall/r_wall/f13vault => 9ms (1358) (avg:0.0066273934207856655)
/obj/machinery/door/airlock/medical => 9ms (238) (avg:0.037815127521753311)
/turf/closed/mineral/silver => 8ms (740) (avg:0.010810811072587967)
