/mob/living/carbon/human => 863ms (10661) (avg:0.080949254333972931)
/obj/machinery/light/fo13colored/Red => 414ms (10607) (avg:0.039030827581882477)
/turf/closed/mineral/random/low_chance => 408ms (51937) (avg:0.0078556714579463005)
/obj/screen/healthdoll => 312ms (9675) (avg:0.032248061150312424)
/obj/machinery/power/smes/magical => 199ms (6136) (avg:0.032431550323963165)
/obj/item/pinpointer/crew => 196ms (3938) (avg:0.04977145791053772)
/obj/machinery/light/fo13colored/Aqua => 137ms (3043) (avg:0.045021358877420425)
/turf/open/space/basic => 124ms (39910) (avg:0.0031069908291101456)
/obj/machinery/hydroponics/soil => 108ms (8326) (avg:0.012971415184438229)
/obj/structure/window/reinforced/fulltile => 74ms (4098) (avg:0.018057588487863541)
/obj/machinery/light/fo13colored/Pink => 68ms (1620) (avg:0.041975308209657669)
/obj/machinery/light/lampost => 63ms (1649) (avg:0.038204971700906754)
/turf/closed/mineral/random/high_chance => 56ms (6447) (avg:0.008686210960149765)
/obj/machinery/door/airlock/grunge => 52ms (384) (avg:0.1354166716337204)
/obj/machinery/door/airlock/hatch => 46ms (525) (avg:0.087619051337242126)
/obj/effect/decal/cleanable/dirt => 44ms (3683) (avg:0.011946782469749451)
/obj/effect/decal/cleanable/blood/footprints => 42ms (1330) (avg:0.031578946858644485)
/obj/machinery/hydroponics/constructable => 40ms (1660) (avg:0.024096384644508362)
/mob/living/carbon/human/dummy => 33ms (833) (avg:0.039615847170352936)
/obj/screen/inventory => 32ms (1254) (avg:0.025518340989947319)
/obj/screen/movable/action_button => 30ms (711) (avg:0.042194094508886337)
/turf/closed/indestructible/riveted => 28ms (2661) (avg:0.010522359982132912)
/turf/closed/mineral/iron => 25ms (3376) (avg:0.0074052130803465843)
/obj/screen/inventory/hand => 25ms (1896) (avg:0.013185653835535049)
/obj/machinery/door/airlock/medical/glass => 22ms (206) (avg:0.10679611563682556)
/obj/item/gun/ballistic/automatic/smg22 => 21ms (154) (avg:0.13636364042758942)
/turf/closed/wall/rust => 19ms (2476) (avg:0.0076736672781407833)
/obj/machinery/door/airlock/shuttle => 19ms (177) (avg:0.10734463483095169)
/obj/screen/parallax_layer/layer_1 => 19ms (87) (avg:0.2183908075094223)
/turf/closed/wall/f13/store => 18ms (1227) (avg:0.014669926837086678)
/turf/closed/wall/r_wall/rust => 17ms (1640) (avg:0.010365854017436504)
/obj/machinery/door/airlock/abandoned => 15ms (129) (avg:0.11627907305955887)
/turf/closed/wall/r_wall/f13vault => 14ms (1360) (avg:0.010294117964804173)
